№,Приоритет,Проверка,Ожидаемый результат
Поиск по введённому тексту,,,
1,Высокий,"Товар, одно слово кириллицей («платье»)","Появляется сообщение “По запросу «платье» найдено”, отображается список соответствующих запросу товаров"
2,Средний,Бренд кириллицей («адидас»),"Появляется сообщение “По запросу «адидас» найдено”, отображается список соответствующих запросу товаров"
3,Средний,Артикул товара («33638154»),Открывается карточка товара с указанным артикулом
4,Средний,"Товар и характеристика товара (цвет), два слова кириллицей через пробел («свитер зеленый»)","Появляется сообщение “По запросу «свитер зеленый» найдено”, отображается список соответствующих запросу товаров"
5,Низкий,"Товар и характеристика товара (сезон), два слова кириллицей через пробел («сапоги зимние»)","Появляется сообщение “По запросу «сапоги зимние» найдено”, отображается список соответствующих запросу товаров"
6,Низкий,"Товар и характеристика товара (материал), два слова кириллицей через пробел («перчатки кожаные»)","Появляется сообщение “По запросу «перчатки кожаные» найдено”, отображается список соответствующих запросу товаров"
7,Низкий,"Товар и характеристика товара (стиль), два слова кириллицей через пробел («футболка оверсайз»)","Появляется сообщение “По запросу «футболка оверсайз» найдено”, отображается список соответствующих запросу товаров"
8,Низкий,"Товар и характеристика товара, три слова кириллицей через пробел («свитер женский зеленый»)","Появляется сообщение “По запросу «свитер женский зеленый» найдено”, отображается список соответствующих запросу товаров"
9,Низкий,Часть слова («видео»),"Появляется сообщение “По запросу «видео» найдено”, отображается список товаров, в названии которых есть «видео»"
10,Средний,"По выпадающему списку (любое значение из списка, например «футболки для женщин»)","Появляется сообщение “По запросу «футболки для женщин» найдено”, отображается список соответствующих запросу товаров"
Другой язык:,,,
11,Средний,Бренд на английском языке («nike»),"Появляется сообщение “По запросу «nike» найдено”, отображается список соответствующих запросу товаров"
12,Средний,"Товар и бренд, английское и русское слово через пробел («кроссовки nike»)","Появляется сообщение “По запросу «кроссовки nike» найдено”, отображается список соответствующих запросу товаров"
13,Средний,"Слово на английском, на русском и число («honor 50 чехол»)","Появляется сообщение “По запросу «honor 50 чехол» найдено”, отображается список товаров"
14,Средний,Транслитерация («pulover»),"Исправляет язык ввода на русский, появляется сообщение “По запросу «пуловер» найдено”, отображается список соответствующих запросу товаров"
15,Низкий,"Запрос на другом языке (например, на казахском – «Әйел күртесі»)","Транслитерирует запрос на русский язык – «айл к пьес»
Появляется сообщение “По Вашему запросу ничего не найдено.”"
Регистр:,,,
16,Средний,Верхний+нижний регистр («Шампунь»),"Преобразует регистр текста в нижний, появляется сообщение “По запросу «шампунь» найдено” , отображается список соответствующих запросу товаров"
17,Низкий,Верхний регистр («СУМКА»),"Преобразует регистр текста в нижний, появляется сообщение “По запросу «сумка» найдено” , отображается список соответствующих запросу товаров"
Спецсимволы/пробелы/эмодзи:,,,
18,Средний,Слово через дефис («гель-лак»),"Появляется сообщение “По запросу «гель-лак» найдено”, отображается список соответствующих запросу товаров"
19,Средний,Спецсимволы ( «&» ),"Появляется сообщение “По запросу «&» найдено”, отображается список товаров, в названии которых есть символ «&»"
20,Средний,Пробел,Появляется сообщение “По Вашему запросу ничего не найдено.” и кнопка “На главную”
21,Низкий,Эмодзи (😊),Появляется сообщение “По Вашему запросу ничего не найдено.”
Раскладка:,,,
22,Средний,Русское слово с английской раскладкой («l;bycs»),"Исправляет ошибку, появляется сообщение “По запросу «джинсы» найдено” , отображается список соответствующих запросу товаров"
23,Низкий,Английское слово с русской раскладкой («фвшвфы»),"Исправляет ошибку, появляется сообщение “По запросу «adidas» найдено” , отображается список соответствующих запросу товаров"
Ошибки/опечатки:,,,
24,Средний,Два слова без пробела («подушкаантистресс»),"Исправляет ошибку, появляется сообщение “По запросу «подушка антистресс» найдено”, отображается список соответствующих запросу товаров"
